date,value
2014-3-19,2.3333
2016-1-22,4.1226
2014-5-8,2.2101
2015-1-7,2.6801
2014-10-24,2.4799
2015-10-28,3.8791
2015-7-10,3.1891
2015-2-13,2.8385
2015-12-15,3.8697
2015-1-22,2.5748
2015-6-3,3.1178
2014-12-30,2.6556
2014-6-23,2.2189
2015-12-28,3.918
2014-4-24,2.2223
2015-8-14,3.4755
2014-9-3,2.2313
2014-8-11,2.2773
2015-12-9,3.7573
2016-2-3,3.9552
2015-10-20,3.865
2014-10-30,2.4113
2015-5-13,3.0096
2015-4-22,3.018
2015-10-23,3.8982
2015-7-13,3.1588
2015-1-14,2.6216
2014-3-28,2.2597
2015-4-28,2.8937
2016-1-29,4.0422
2015-12-4,3.7569
2015-10-26,3.8575
2015-7-21,3.1807
2015-1-21,2.5961
2016-1-13,3.9857
2015-12-17,3.8923
2015-6-2,3.1437
2016-2-1,3.9979
2014-6-6,2.2439
2015-4-24,2.9739
2015-7-14,3.1224
2015-11-4,3.768
2015-6-30,3.1019
2015-11-20,3.7
2015-7-29,3.3413
2014-10-17,2.447
2015-4-9,3.0459
2015-11-3,3.812
2015-1-9,2.6577
2014-3-27,2.2824
2016-2-25,3.9394
2015-11-19,3.7435
2016-1-27,4.0441
2015-4-8,3.0828
2014-11-10,2.5384
2015-6-12,3.1101
2015-10-7,3.8053
2015-4-16,3.0243
2015-10-6,3.8561
2015-12-3,3.7964
2015-5-8,2.9959
2015-3-24,3.1304
2015-6-8,3.1184
2014-11-20,2.544
2016-3-3,3.8498
2014-4-8,2.1968
2015-3-31,3.2074
2015-4-1,3.1549
2015-6-18,3.0466
2014-4-4,2.2414
2015-4-27,2.9229
2015-11-11,3.732
2015-12-29,3.8486
2015-4-6,3.092
2014-10-28,2.4863
2015-10-30,3.8582
2015-3-23,3.1793
2016-3-2,3.911
2014-12-18,2.6669
2014-10-29,2.434
2015-8-27,3.5549
2016-2-22,3.9612
2015-10-5,3.9135
2016-2-4,3.8646
2015-10-9,3.738
2014-10-6,2.4092
2016-3-4,3.7182
2015-9-30,3.9722
2015-9-25,3.9472
